verb,participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,vf_acc,vn_acc,pn_acc,error_fields,translation,transcription,verb_number,patient_number,word_order,comments
burn,К01,burn-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,0,1,vn_acc,Бабушка сжигает две книги,Чачамйа  кун'ын'ыт  калыт,2,2,AVP,
carry,К03,carry-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Женщина несёт два ведра,Н'авытк'атпиляка  кунын'нин  аймыёчгын,1,1,AVP,
dress,К03,dress-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,0,1,vn_acc,Бабушка одевает двух дедушек,ааа Чачамдынак  кунэчг'эпав'н'ынат  г’удемтэв’илг’ыт... так,2,2,AVP,
burn,К03,burn-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,1,0,pn_acc,Две бабушки сжигают книгу,"Чачамдыдык нэкункэнгэв'н,ынэт каликал",2,1,AVP,
pull,К03,pull-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мальчик везёт двое санок,К'адыкмин'а  кудялекон'нэн удетик,1,1,AVP,катит
hit,К03,hit-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,0,1,vn_acc,Девочка бьет двух мальчиков,... Н'авытк'атпиляк'а койкыплылэнат к'адыкмин'ыт,2,2,AVP,"приставка наст, суффикс прош"
cut_hair,К04,cut_hair-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два мальчика стригут двух девочек,К'айыкмин'ыйык  накопаен'ын ӈавык'к'алю,1,1,AVP,стригут девочку
pour,К04,pour-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Двое мужчин обливают двух женщин,Г'оляйык накимлытг'ын'ын  ӈавык'к'алют,1,2,AVP,
scold,К04,scold-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две девочки ругают двух мальчиков,Н'авык'к'алюйык накокытг'айн'ан'ын  к'айыкмин'ыт,1,2,AVP,
wake,К04,wake-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мужчина будит двух женщин,Г'олята  куныкъев'н'ынин  н'авык'к'алю,1,1,AVP,
boil,К04,boil-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две женщины варят две курицы,Н'авык'к'алюйык   накопаньн'ын  курица,1,1,AVP,
hang,К04,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Дедушка вешает две картины,Г'олята  коннёпаньн'ынэн  картина,1,1,AVP,
open,К04,open-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка открывает две двери ,Аняпэля  кунв'эн'эньн'ынин  тыллытыл,1,1,AVP,
eat,К04,eat-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Женщина ест два яблока,аняпэляка  кунув'нын  ывныг'нын,1,1,AVP,
pick,К04,pick-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,1,0,pn_acc,Два мальчика срывают два цветка,К'айыкмин'ыйык  нэкупыйг'ын'ныт  в'ытв'ыто,2,3,AVP,
teach,К04,teach-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две женщины учат двух мужчин,"..Н'авычӈэйык  нэкунынн,эв'н,ын  г'олят",1,2,AVP,
cover,К04,cover-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две женщины накрывают два цветка,"Н'авык'к'алюйык  накойатып'н,ын  в'ытв'ыт",1,1,AVP,
wash,К04,wash-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Бабушка моет двух дедушек,аняпэляка  кункупляв'ын'нын  к'ымину,1,3,AVP,
give_water,К04,give_water-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,NA,vn_acc,Два мужчины поят двух женщин,"Олядык нэкудылн,ын алляв,мимыл",1,NA,AVP,дают сладкую воду
tie,К04,tie-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мальчик связывает двух девочек,К'айыкмин'а   кукылтын'нин  ӈавык'к'алют,1,1,AVP,
eat,К04,eat-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мужчины едят два яблока,Г'олята нэкугитэйныв'  ыв'нав',3,3,AVP,
water,К04,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две девочки поливают два цветка ,Н'авык'к'алюйык  накимлытг'ын'нин  в'ытв'ытыв',1,3,AVP,
plant,К04,plant-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мужчина сажает два дерева ,"Г'олята  койын,нын  утту",1,3,AVP,
teach,К04,teach-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мужчина учит двух женщин ,"Инэнгыюлэвычг,э кунгыюлэв,н,ынин н,авыккаллю",1,1,AVP,учитель учит девочек
pull,К04,pull-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две девочки везут двое санок ,забыла...  Н'авык'к'алюйык  накуг'аг'ан'нэн  уетыку,1,3,AVP,
burn,К04,burn-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка сжигает две книги,Ынпыӈэв’э  кунгын'ев'ын'ын  книгав',1,3,AVP,
shoot,К04,shoot-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Девочка стреляет в двух мальчиков ,Н'авык'к'алюта кулк'эйнэвын'нин к'айыкмин'у,1,3,AVP,
scold,К04,scold-2-1-l.png,inverse,inverse_2_agents_1_patient_animate_patient,"2 agents, 1 patient, animate patient",2,1,animate,1,1,0,pn_acc,Два мальчика ругают девочку,К'айыкмин'ыйык  накокытг'айн'ан'нэн  ӈавык'к'алют,1,2,AVP,
cover,К04,cover-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мужчина накрывает два цветка ,"Г'олята  койатып'н,ын  в'ытв'ытыв'",1,3,AVP,
hit,К04,hit-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два мальчика бьют двух девочек,К'айыкмин'у напейнын'нэв'  ӈавык'к'алюйик,3,3,AVP,
break,К05,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мальчика ломают два домика,К'айыкмин'ыйык  накунчимав'н'ын  яяпэляк'о,1,3,AVP,
feed,К05,feed-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Дедушка кормит двух бабушек,Ынпыӄлаволы..нак кунэв'ыеньн'ынин  ынпыӈэв’,1,1,AVP,
wake,К05,wake-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две женщины будят двух мужчин,"Н'авычӈа  нэкуеныкъев,н'ынин  г'оляв'э",1,3,AVP,хочет
cut_hair,К05,cut_hair-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два мальчика стригут двух девочек,К'айыкмин'ыйык  накопаен'нав'  ӈавык'к'алю,3,1,AVP,
paint,К05,paint-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Девочка красит две доски,Н'авык'к'алюта  кокрасканьн'ынин доскав',1,3,AVP,
treat,К05,treat-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мужчина лечит двух женщин ,Доктора  кунмэчгэв'н'ынин  н'авычӈо,1,3,AVP,
scold,К05,scold-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две девочки ругают двух мальчиков,Н'авык'к'алюйык накокытг'айн'ын к'айыкмин'у,1,3,AVP,
break,К05,break-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Девочка ломает два домика,Н'авык'к'алюнак кунчимав'н'ынин яяпэляк'о,1,3,AVP,
pour,К05,pour-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Женщина обливает двух мужчин,Н'авычӈа  кимлытг'ын'нин  г'оляв'э,1,3,AVP,
carry,К05,carry-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Двое мужчин несут два ведра,Г'оляйык накунын'нэв' ведрав'э,3,3,AVP,
feed,К05,feed-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две бабушки кормят двух дедушек,а.. Ынпыӈэв’ыйык нэкунэв'ыеньн'ынэв'  ынпыӄлаволо,3,3,AVP,
wake,К05,wake-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Мужчина будит двух женщин,Г'оляна куеныкъевын'нин  н'авычӈо,1,3,AVP,
boil,К05,boil-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две женщины варят две курицы,Н'авычӈа нэкукэйвын'нэв'  курицав',3,3,AVP,
hang,К05,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Дедушка вешает две картины,Ынпыӄлаволынак кояннёпаньн'ынэн  картинав',1,3,AVP,
dress,К05,dress-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два дедушки одевают двух бабушек,Г'оляйык  накоеныплав'н'ынэн пальтов'э,1,3,AVP,
cut_hair,К05,cut_hair-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Девочка стрижет двух мальчиков,Н'авык'к'алюынак копаен'нэн к'айыкмин'у,1,3,AVP,
burn,К05,burn-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,0,0,vn_acc+pn_acc,Две бабушки сжигают книгу,Ынпыӈэвыйык нэкунтын'нэв' калив'и,3,3,AVP,
saw,К05,saw-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два мужчины пилят два бревна,"Г'оляйык  накупиляткун,нэв'  утту",3,3,AVP,
open,К05,open-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка открывает две двери ,Ынпыӈэв’ынэк куенв'эн'эньн'ынин тылло,1,3,AVP,желат
treat,К05,treat-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две женщины лечат двух мужчин,Н'авычӈа  нэкунмэчг'эв'н'ынэв'  г'оляв'э,3,3,AVP,
call,К05,call-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две бабушки зовут двух дедушек,Ынпыӈэв’эйык  накукувын'ныныв' ынпыӄлавол,3,1,AVP,
wash,К05,wash-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Бабушка моет двух дедушек,Ынпыӈэв’э кокуплев'ын'нын ынпыӄлаволо,1,3,AVP,
give_water,К05,give_water-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два мужчины поят двух женщин,Г'оляйык  нэкуенив'ычевын'нын  н'авык'к'алю,1,1,AVP,
water,К05,water-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мальчик поливает два цветка,К'айыкмин'а  кимлытг'ын'нин  в'ытв'ыто,1,3,AVP,
plant,К05,plant-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две женщины сажают два дерева,"Н'авык'к'алюйык накойын,ныв'  в'ытв'ыто",3,3,AVP,
pull,К05,pull-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мальчик везёт двое санок,К'айыкмин'ын каг'аг'ан'нин  уетыку,1,3,AVP,
burn,К05,burn-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Два дедушки сжигают две книги ,Ынпыӄлаволанак нэкун'тын'ыв' калив',3,3,AVP,
give_water,К05,give_water-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Женщина поит двух мужчин,Н'авычӈэ  куенив'ычевын'нын  г'оляв',1,3,AVP,
pick,К05,pick-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,0,0,vn_acc+pn_acc,Девочка срывает два цветка,Н'авык'к'алюнак  каёйэнав'  в'ытв'ыто,3,3,AVP,
tie,К05,tie-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Две девочки связывают двух мальчиков,Н'авык'к'алюйык  накылг'ытын'нин  к'айыкмин'у,1,3,AVP,
carry,К05,carry-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1,1,0,pn_acc,Мужчина несёт ведро,Г'олята  кулк'ытын аймын'ав',1,3,AVP,
water,К05,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две девочки поливают два цветка ,Н'авык'к'алюйык  накимлытг'ын'нав'  в'ытв'ыто,3,3,AVP,
plant,К05,plant-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,0,0,vn_acc+pn_acc,Мужчина сажает два дерева ,"Г'олянак койын,ныв' в'ытв'ыто",3,3,AVP,
boil,К05,boil-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1,1,0,pn_acc,Женщина варит курицу,Н'авычӈэ копаньн'ынин  курицав',1,3,AVP,
burn,К05,burn-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка сжигает две книги,Ынпыӈэв’э кун'тын'ын калив',1,3,AVP,
wash,К05,wash-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два дедушки моют двух бабушек,Ынпыӄлаволайык нэконкуплев'ын'нын ынпыӈэв’о,1,3,AVP,
saw,К05,saw-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1,1,0,pn_acc,Мужчина пилит бревно,"Г'олята купиляткун,нын  утту",1,3,AVP,
shoot,К05,shoot-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,1,0,pn_acc,Девочка стреляет в двух мальчиков ,Н'авык'к'алюна кулк'эйнэвын'нин к'айыкмин'у,1,3,AVP,
cover,К05,cover-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Мужчина накрывает два цветка ,Г'олята к'айпын'нин  в'ытв'ыто,1,3,AVP,
hit,К05,hit-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,0,vn_acc+pn_acc,Два мальчика бьют двух девочек,К'айыкмин'ыйык накойкыплын'нэн  н'авык'к'алю,1,1,AVP,
break,К06,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,1,vn_acc,Два мальчика ломают два домика,"К'айыкмин'ыйык  накунчимав'н'ынав'  яя,пиляк'ыт",3,2,AVP,
wake,К06,wake-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две женщины будят двух мужчин,"Эльг'ат  нэкуныкйэв,н'ынэв'  г'олят",3,2,AVP,
cut_hair,К06,cut_hair-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Два мальчика стригут двух девочек,К'айыкмин'а  накопаеньн'ав' навыткатпиляк'ыт,3,2,AVP,
paint,К06,paint-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Девочка красит две доски,Н'авыткатпэляк'а  кэняйкэченьн'нэн утт..утту,1,3,AVP,
boil,К06,boil-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка варит две курицы,...Чачамйа  копаньн'ынэн  г'итутг'ул,1,1,AVP,гуся
scold,К06,scold-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две девочки ругают двух мальчиков,Н'авыткатпэляк'а  накокытг'айн'ан'нав'  к'айыкмин'ыт,3,2,AVP,
carry,К06,carry-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Двое мужчин несут два ведра,Г’олят накуньнын'нэв' мэмлыёчго,3,3,AVP,
feed,К06,feed-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две бабушки кормят двух дедушек,"Чачамйа  нэкунэв,ъеньн'ынэв'  ынпыӄлаволыт",3,2,AVP,
hang,К06,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Дедушка вешает две картины,Ынпыӄлавола  коннёпаньн'ынэн  картинкав',1,3,AVP,
dress,К06,dress-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Два дедушки одевают двух бабушек,Ынпыӄлаволыт  наконэчг'эпаньн'ынэв'  чачамйыт,3,2,AVP,
saw,К06,saw-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,1,vn_acc,Два мужчины пилят два бревна,Г’олят нэкучвин'ынэв' уттыт,3,2,AVP,
treat,К06,treat-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две женщины лечат двух мужчин,Эльг'анак  нэкунмэлэв'н'ынэв'  г'олят,3,2,AVP,
pick,К06,pick-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,1,0,pn_acc,Два мальчика срывают два цветка,"К'айыкмин'ыт  нэкэкминьн,ынэт так,лэн,тогыйн,ын",2,1,AVP,"""берут растения"""
teach,К06,teach-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две женщины учат двух мужчин,Эльг'ат нэкуныг'ев'ын'нын  г'олят,1,2,AVP,
cover,К06,cover-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,1,vn_acc,Две женщины накрывают два цветка,"Эльг,ат накэнчг,эн,ын так,лэн,тогыйн,ыт",1,2,AVP,
paint,К06,paint-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,1,0,pn_acc,Две девочки красят доску,"Н'авыткатпэляка  накэняйкэчен,нын  уттыт",1,2,AVP,
boil,К06,boil-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,1,0,pn_acc,Две бабушки варят курицу,"Ынпын,эв,ыт накопаньн,ын г,итуг,ит",1,2,AVP,
hang,К06,hang-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1,1,0,pn_acc,Бабушка вешает картину,"Ынпыӈэв’э  коннёпаньн'ын  калын,ат",1,2,AVP,
saw,К06,saw-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,1,0,pn_acc,Два дедушки пилят бревно,Ынпыӄлаволат нэкучг'ынин  уттыт,1,2,AVP,
tie,К06,tie-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Две девочки связывают двух мальчиков,Н'авытк'атпэляк'ыт нэкукылтын'нив'   к'айыкмин'ат,3,2,AVP,
carry,К06,carry-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1,0,1,vn_acc,Мужчина несёт ведро,Г’оляна кунн'ин'ныв' мэмлыёчгын,3,1,AVP,
water,К06,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,0,vn_acc+pn_acc,Две девочки поливают два цветка ,"Н'авытк'атпэляка  нэкунв,илэв,н,ыныв' так,лэн,тогыйн,о",3,3,AVP,
