participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt,translation,transcription,comments
К06,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1877.000000,Дедушка моет бабушку,Ынпыӄлавола кунмытн'ынин ынпыӈэв’,
К06,throw-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,1029.000000,Девочка бросает мяч,Н'авытк'атпиляк'а кунын'лын'нин к'апыл,
К06,scold-1-2-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1366.000000,Мальчик ругает двух девочек,К'айыкмин'а кокытг'айн'ан'нэн навытк'атпиляк'ыт,
К10,clean-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,3957.000000,Два дедушки чистят пальто ,Апапов'э кучистин'нынын пальтон,
К14,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,3078.000000,Дедушка моет бабушку,Ынпын'этэ конмытын'нын чачамэ,
К17,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,2934.000000,Дедушка моет бабушку,Ынпын'этэ конмытын'нин чачамэ,
К17,throw-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,2763.000000,Девочка бросает мяч,Н'авык'к'алю куйичвытын к'апыла,
К17,scold-1-2-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,2654.000000,Мальчик ругает двух девочек,К'айыкмин'а кокытг'айн'ан'нэн н'авык'к'алют,
К20,throw-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,1692.000000,Два мальчика бросают мяч,К'айыкмин'ык куйичвылын'нын к'апыла,
К20,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,2388.000000,Дедушка моет бабушку,Апапэляка конмытын'нын аня,
К20,dress-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,5359.000000,Две бабушки одевают дедушку,Апапэляка койпыннын пальтон,
К20,scold-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1803.000000,Два мальчика ругают девочку,К'айыкмин'а кукумайлын н'авык'к'алю,
К22,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1970.000000,Дедушка моет бабушку,Апапонак конмытын'нын аня,
К22,feed-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,2803.000000,Два дедушки кормят бабушку,Г'олята кунэв'эн'нын н'авычӈэн,
К22,boil-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,3018.000000,Две бабушки варят курицу,Анята копаньн'ынын' кинун'вав',
К25,burn-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,1907.000000,Две бабушки сжигают книгу,Чачамйык кумилгынг'энын калитг'кула,
К25,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1566.000000,Дедушка моет бабушку,Ынпыӄлавола кылгытэв'ын'нин чачамэ,
К25,scold-1-2-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1492.000000,Мальчик ругает двух девочек,К'айыкмин'а кокытг'айн'ан'нэн н'авыткатпиляк'ат,
К07,paint-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,4053.000000,Две девочки красят доску,Эльг'атапэлякыт кукрасин'нынын доска,
К07,saw-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,3799.000000,Два дедушки пилят бревно,К'айыкмин'у накупынг'ылынын бревно,
К13,throw-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,4592.000000,Два мальчика бросают мяч,"К'айнюнюпиль  оечватыткын  к,аплык",
К13,eat-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,4318.000000,Мужчина ест яблоко,Орачекынак туткынин яплёкав',
К13,pick-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,3405.000000,Две девочки срывают один цветок,Н'авык'алютык  галаг'улын мичг'амич,
К13,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,5393.000000,Дедушка моет бабушку,Ынпык'лаволанак илгытэвыткынин ынпыӈэв',
К13,push-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,2560.000000,Два мальчика толкают девочку,К'айнюнютэ купынг'ылынин н'авык'алюпэль,
К15,throw-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,1963.000000,Два мальчика бросают мяч,"К'айыкмину  оечватыткын  к,апыла",
К15,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1654.000000,Дедушка моет бабушку,Ынпык'лавола тэкуплевыткынин ынпыӈэв'э,
К16,scold-1-2-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,5209.000000,Мальчик ругает двух девочек,"ага... это пацан, да?.. ага... К'айыкмин'а кокытг'айн'ан'нэн н,ыечгэйин н'авык'к'алют ",
