participant_list,item ,condition: topical,transcription,repetition,sentence type,word order,"SOL, ms"
GVD_b3,24,P,ʂaλta wuljajen marjajejen λapetti pitsa njaλ eweλt,ok,pass,PAV,1546
IMI_a3,1,none,wuljaen marjaeλ mašinaen taλeλλe,ok,act,APV,2445
IMI_a3,2,A,marjaen njoxλeλλe (двигает) wuljaeλ ,ok,act,AVP,3772
IMI_a3,3,P,wuljaen marjaen λomteλλe,ok,act,APV,1954
IMI_a3,4,none,marjaen wuljaeλ jinken temetseλλe,ok,act,APV,3636
IMI_a3,5,A,aλeng (утром) wuljaen marjaeλ nux kuretλ,ok,act,APV,1713
IMI_a3,6,P,marjaen wuljaejen peveλ ,ok,act,APV,2257
IMI_a3,7,none,wuljaen marjaeλ λapeλ,ok,act,APV,3022
IMI_a3,8,A,marjaen jinken janʂetɨ wuljanajeλ- wuljajeλ wutʂeteλλe (намеревается),ok,act,APV,2176
IMI_a3,9,P,wuljaen marjaeλ juxa jirseλλe,ok,act,APV,2328
IMI_a3,10,none,marjaen wuljaeλ sengkseλλe ,ok,act,APV,4311
IMI_a3,11,A,wuljaen njoλta- njoλen eseλseλλe marjajeλ,ok,act,AVP,2508
IMI_a3,12,P,marjaen wuljaeλ moseλteλλe ,ok,act,APV,4011
IMI_a3,13,none,wuljanajen marjaeλ soken janʂeλλe ,ok,act,APV,3495
IMI_a3,14,A,marjaen wuljanajeλ λomteλ,ok,act,APV,2258
IMI_a3,15,P, marjaen wuljanajeλen jinken šošemsa,ok,pass,PAV,1897
IMI_a3,16,none,marjaen wuljanajeλ- wuljanajeλeλa njoλ taxλ (метать),ok,NA,NA,2548
IMI_a3,17,A,wuljaen marjaeλ λjuxatλ ,ok,act,APV,4333
IMI_a3,18,P,wuljaen marjaeλen mašinaen taλeλi,ok,pass,PAV,3564
IMI_a3,19,none,wuljaen marjaeλ poxelmasλe,ok,act,APV,3270
IMI_a3,20,A,marjaen wuljaeλ juxa jirseλλe,ok,act,APV,3611
IMI_a3,21,P,marjaen wuljaeλen sengksa,ok,pass,PAV,2059
IMI_a3,22,none,marjaen wuljaeλ nux kurλeλλe,ok,act,APV,1780
IMI_a3,23,A,marjaen wuljaeλen moseλtesɨ ,-,pass,PAV,3779
IMI_a3,24,P,wuljaen marjaeλen muλtijin λapλa,ok,pass,PAV,3351
IMI_b1,1,A,wuljaen ʂi mašinaeλen marjaeλ taλeλ,ok,act,APV,2172
IMI_b1,2,P,wuljaen marjaeλen poxelmasɨ ,ok,pass,PAV,2851
IMI_b1,3,none,wuljaen marjaeλa- marjaeλ paltajen λomteλλe,ok,act,APV,2681
IMI_b1,4,A,marjaen wuljaeλ jinken šošemesλe,ok,act,APV,2676
IMI_b1,5,P,wuljaen- marjaen wuljaeλen nux kurλa,ok,pass,A-PAV,3747
IMI_b1,6,none,marjaen wuljaeλ λjuxatλ,ok,act,APV,3592
IMI_b1,7,A,wuljaen marjaeλ λapλeλλe,ok,act,APV,3033
IMI_b1,8,P,marjaen wuljajeλ jinken janʂeλλe ,-,act,APV,2262
IMI_b1,9,none,wuljaen marjaeλ ʂi keλen juxa jirseλλe,ok,act,APV,2764
IMI_b1,10,A,marjaen wuljaeλ semeλ (в глаз) xatčesλe ,ok,act,APV,4575
IMI_b1,11,P,marjaen wuljaeλen njoλiλaλ- njoλen lep tax- lep taxsa,ok,pass,PAV,2423
IMI_b1,12,none,marjaen wuljaeλ moseλteλλe ,ok,act,APV,4349
IMI_b1,13,A,wuljanajen marjaeλ soken janʂeλλe ,ok,act,APV,2482
IMI_b1,14,P,wuljaen marjaeλen λomtteλi,ok,pass,PAV,1754
IMI_b1,15,none,wuljajen marjaeλ jinken šošemseλλe,ok,act,APV,3813
IMI_b1,16,A,marjaen wuljaeλ njoλen taxseλλe ,ok,act,APV,2396
IMI_b1,17,P,marjaen wuljaeλen λjuxtλa ,ok,pass,PAV,2769
IMI_b1,18,none,marjaen wuljaeλ mašinaen taλeλλe,ok,act,APV,3750
IMI_b1,19,A,wuljaen marjaeλ poxelmasλe,ok,act,APV,2009
IMI_b1,20,P,wuljaen marjaλen keλen juxa jirsa,ok,pass,PAV,1789
IMI_b1,21,none,wuljaen- wuljaen marjaeλ semeλ xatčesλe ,ok,act,APV,3892
IMI_b1,22,A,marjaen aλeng wuljaeλ nux kuretλ,ok,act,APV,3556
IMI_b1,23,P,marjaen wuljaeλen ʂi pata moseλtesɨ ,ok,pass,PAV,2872
IMI_b1,24,none,marjaen wuljaeλ λapλeλλe,ok,act,APV,4512
IEM_a2,1,P,marjaen mašinkajeλen wuljanajen kataetλi,ok,pass,PAV,2430
IEM_a2,2,none,marjaen wuljanajeλ jira (прочь) poxelmasλe,ok,act,APV,3458
IEM_a2,3,A,wuljanajen mašajen palta λomettɨ partes,ok,act,APV,2219
IEM_a2,4,P,wuljanajen - как сказать то - jink lot eweλt   ...,ok,NA,NA,6365
IEM_a2,5,none,wuljaen mašajen nux kurλeλλe,ok,act,APV,2646
IEM_a2,6,A,mašajen pewelttɨ pites- wuljanejen pewelttɨ pites pa mašajeλen ??? tosɨ ,-,NA,NA,2798
IEM_a2,7,P,wuljanajen marjaeλ supen λapλeλλe,-,act,APV,3275
IEM_a2,8,none,mašajen wuljanajeλ soken janʂeλλe ,ok,act,APV,2287
IEM_a2,9,A,keλ mašajeλ wonshi jirmaλ,ok,act,PV,2383
IEM_a2,10,P,mašajen wuljanajen- wuljaeλ semλeλ xatčesλe ,ok,act,APV,2394
IEM_a2,11,none,wuljanajen joxaλen mašajeλ eseλti pitseλ,ok,act,APV,2050
IEM_a2,12,A,marjaen wuljanajen moseλteλλe ,ok,act,APV,3360
IEM_a2,13,P,marjaen wuljanaje(je)n soken janʂeλi,ok,pass,PAV,2968
IEM_a2,14,none,NA,NA,NA,NA,7000
IEM_a2,15,A,wuljaen jink iλ temets pa mašajen jink lota pormas ,ok,NA,NA,2911
IEM_a2,16,P,wuljajen- mašajen joxaλen wuljanajen eseλ,ok,act,P-APV,2013
IEM_a2,17,none,mašajen peveλɨ wuljanajeλen,ok,pass,PVA,3889
IEM_a2,18,A,marjaen wuljanajeλ mašinkaen katatλ,ok,act,APV,4486
IEM_a2,19,P,marjajən wuljanajeλen jira pɵxəλməsɨ,ok,pass,PAV,2749
IEM_a2,20,none,mašajen wuljanajeλ wonshije jurseλλe keλen,ok,act,APV,3801
IEM_a2,21,A,wuljaen mašaeλ semλeλ xatʂeλλe ,ok,act,APV,2650
IEM_a2,22,P,wuljaen iλ wojntum mašajeλen nux kurλa,ok,pass,PAV,2716
IEM_a2,23,none,wuljanajen mašaeλ moseλteλλe ,ok,act,APV,3878
IEM_a2,24,A,supen marjaen wuljanajeλ λapeλ,ok,act,APV,1867
IEM_b3,1,none,juntɨ mašinkajen wuljanajen mašaen kataetλ,ok,act,APV,1349
IEM_b3,2,A,mašaen wuljanajeλ jira poxelmasλe,ok,act,APV,2640
IEM_b3,3,P,wuljanajen- ʂaʂeλen paltajen λomteλλe,ok,NA,NA,2380
IEM_b3,4,none,"marjajen jink temes, wuljanajen pormes jinken",ok,NA,NA,5795
IEM_b3,5,A,wuljanajen mašajeλ nux kurλeλλe,ok,act,APV,2071
IEM_b3,6,P,wuljanejen pewelttɨ pites mašajeλen  ,ok,pass,PVA,4730
IEM_b3,7,none,wuljanajen mašajeλ njaλ eweλt λapλeλλe,ok,act,APV,1893
IEM_b3,8,A,kompotλ wuljanajeλ  punseλλe,-,NA,NA,1472
IEM_b3,9,P,wuljanajen keλa jirsa mašajeλ ,ok,pass,AVP,1792
IEM_b3,10,none,mašajen wuljanajeλ semλa xatčes,ok,act,APV,3594
IEM_b3,11,A,wuljanajen njoλaλ mašajen eseλti pitseλλe,-,act,APV,2502
IEM_b3,12,P,mašajen wuljanajeλ moseλteλλe ,ok,act,APV,2840
IEM_b3,13,none,wuljanajen mašajeλ soken janʂeλλe ,ok,act,APV,3136
IEM_b3,14,A,marjaen wuljanajeλ palta λometti parseλλe,ok,act,APV,2626
IEM_b3,15,P,marjajen wuljanajeλen jinken temλa ,ok,pass,PAV,3484
IEM_b3,16,none,marjajen wuljanajeλ luken esλeλλe,ok,act,APV,3056
IEM_b3,17,A,wuljanajen mašajeλ peveλtɨ partseλλe,ok,act,APV,2483
IEM_b3,18,P,wuljajen mašinaen mašajejen katajetλa,ok,pass,PAV,3821
IEM_b3,19,none,wuljanajen mašajeλ jira pɵxəλmasλe,ok,act,APV,3429
IEM_b3,20,A,mašajen wuljanajeλ wonshije jirseλλe ,ok,act,APV,4405
IEM_b3,21,P,wuljanajen marjajen wuljanajeλen xatʂesɨ pa sinjaken omes ,ok,pass,A-PAV,1884
IEM_b3,22,none,marjaen wuljanaeλ nux kurλeλλe,ok,act,APV,3001
IEM_b3,23,A,wuljanajen mašaeλ moseλteλλe ,-,act,APV,2908
IEM_b3,24,P,wuljanajen mašaeλen λapλa ???,ok,pass,PAV,2802
RAI_a3,1,none,ʂi mašinkajeλen wuljaen marjaeλ taλeλ,ok,act,APV,1671
RAI_a3,2,A,pušseλλe- pušseλλe pa wuljanajeλ jira poxelmas,ok,act,PV,2859
RAI_a3,3,P,wuljaen marjaen λomteλ,ok,act,APV,1741
RAI_a3,4,none,marjaen wuljaeλ jinken šošemseλλe,ok,act,APV,1746
RAI_a3,5,A,wuljaen pa aλengajem marjaeλ xurajen nux kurtseλλe,ok,act,APV,2627
RAI_a3,6,P,mašaeλen ʂi xureλen λjuxtsa,ok,pass,AV,2168
RAI_a3,7,none,marjajen wuljajejen λapλa,ok,pass,PAV,3492
RAI_a3,8,A,wuljajeλ  jan- janʂesλe ,ok,act,PV,4075
RAI_a3,9,P,ʂi keλaλen wuljajejen juxa jirsa,ok,pass,AV,1482
RAI_a3,10,none,marjaen wuljaeλ xatčes ,ok,act,APV,1842
RAI_a3,11,A,ʂi njoλang mašaeλ eseλseλλe ,ok,act,PV,1753
RAI_a3,12,P,marjaen wulja-marjaejen wuljajen moseλtesɨ ,ok,pass,APV,1698
RAI_a3,13,none,ʂi soken wuljajen marjajen janʂes,ok,act,APV,1347
RAI_a3,14,A,marjaen wuljajeλ λomtes,ok,act,APV,3122
RAI_a3,15,P, pa wuljanajeλen jinken šošemsa,ok,pass,AV,4213
RAI_a3,16,none,marjaen wuljajeλ njoλen eseλ,ok,act,APV,1882
RAI_a3,17,A,xuren wuljaen mašajeλ λjuxtes ,ok,act,APV,4911
RAI_a3,18,P,marjaejen aj mašinaen tosi,ok,pass,AV,2208
RAI_a3,19,none,wuljaen mašajeλ jira poxelmasλe,ok,act,APV,1946
RAI_a3,20,A,wuljaeλ keλen juxa jirtes,ok,act,PV,5163
RAI_a3,21,P,ʂi pata wuljajeλen xatʂesɨ,ok,pass,AV,2283
RAI_a3,22,none,marjaen wuljaeλ ??? nux kurtseλλe,ok,act,APV,2049
RAI_a3,23,A,pa marjajeλ moseλtes,ok,act,PV,2286
RAI_a3,24,P,ʂi  supeλen marjaeλen λapsa,ok,pass,AV,1572
RAI_b2,1,P,ʂi mašinkajeλen wuljajeλen ʂi taλeλ,ok,pass,AV,1298
RAI_b2,2,none,marjajen wuljajeλ jira poxelmasλe,ok,act,APV,2297
RAI_b2,3,A,wuljaen marjaen λomteλ,ok,act,APV,2016
RAI_b2,4,P,marjajejen wuljaen jinken šošemsa,ok,pass,APV,2117
RAI_b2,5,none,wuljaen marjaeλ nux kuretλ,ok,act,APV,2178
RAI_b2,6,A,ʂi xureλen wuljajeλ λjuxtseλλe,ok,act,PV,1586
RAI_b2,7,P,pa wuljajeλen λapsa,ok,pass,AV,3300
RAI_b2,8,none,marjajen wuljajeλ jinken janʂeλλe ,ok,act,APV,1737
RAI_b2,9,A,ʂi keλaλen marjajen juxa jirseλλe,ok,act,PV,1261
RAI_b2,10,P,ʂi pata marjajeλen xatʂesɨ,ok,pass,AV,1537
RAI_b2,11,none,ʂi joxλ eweλt wuljajen marjajen peλa eseλ,ok,NA,NA,1525
RAI_b2,12,A,marjaen wuljajeλ moseλtemasλe,ok,act,APV,1896
RAI_b2,13,P,ʂi sokeλen wuljajeλen λapλ- janʂeλɨ,ok,pass,AV,1208
RAI_b2,14,none,marjaen wuljajeλ ??? λomteλλe,ok,act,APV,2731
RAI_b2,15,A,jink tos pa marjajen jinken šošemseλλe,ok,act,PV,2576
RAI_b2,16,P,pa marjajeλen njoλen eseλsa,ok,pass,AV,4318
RAI_b2,17,none,kavrum jink manes i pa wuljaen mašajeλ xuren λjuxatλ,ok,act,APV,2884
RAI_b2,18,A,welosipetλ  šukatseλλe pa wuljajen aj mašinkaen taλeλ,ok,act,PV,4431
RAI_b2,19,P,wuljajeλen jira pɵxəλməsɨ,ok,pass,AV,2002
RAI_b2,20,none,wuljajen mašajeλen keλen juxa jurtum,ok,pass,PAV,3946
RAI_b2,21,A,šukatseλλe pa marjajena kuλaʂti naptes,ok,NA,NA,3327
RAI_b2,22,P,alenga marjajeλen xurajen kurtsa,ok,pass,AV,1628
RAI_b2,23,none,wuljajen pa mašajeλ moseλtes,ok,act,APV,2234
RAI_b2,24,A,ʂi supeλen wuljajeλ λapes,ok,act,PV,1263
KSM_a1,1,A,ʂaλta pa ʂi mašinajeλa marja λojnetλ omseseλλe pa ??? pitsengen,ok,NA,NA,1690
KSM_a1,2,P,marjajen juxtes pa jira ʂi woštsa,ok,pass,AV,3888
KSM_a1,3,none,angkemen ??? palta λometti,ok,NA,NA,2416
KSM_a1,4,A,jinkeλ xot xarje šošemseλλe,ok,NA,NA,4094
KSM_a1,5,P,wuljajen juxtes pa nux weretti ʂi pitsa,ok,pass,AV,2915
KSM_a1,6,none,marjaen wuljaeλ λjuxatti ʂi pitseλλe,ok,act,APV,4117
KSM_a1,7,A,"wuljaen λapka eweλt juxtes, λant jink kavertes pa marjaje λapetti pitseλλe",ok,NA,NA,3229
KSM_a1,8,P,marjajen ??? sok woites pa wuljajeλ janʂi parseλλe ,ok,NA,NA,2739
KSM_a1,9,none,wuljajen ʂi keλ woitseλλe pa marjajeλ juxa jirseλλe,ok,NA,NA,3238
KSM_a1,10,A,ʂaλta pa marjaen λika jis (разозлилась) pa wuljajeλ sengkti ʂi pitseλλe  ,ok,NA,NA,2176
KSM_a1,11,P,забыла как лук называется..,ok,NA,NA,3716
KSM_a1,12,none,marjaen wuljaeλa lopaλ ...,ok,NA,NA,2176
KSM_a1,13,A,ʂi sokeλen marjaeλ janʂeti pitseλλe,ok,act,PV,2207
KSM_a1,14,P,marjajen λuw jira lopaλ paltajen λomtti,ok,NA,NA,3512
KSM_a1,15,none,jinki wetrajeλ wuljajeλen- ʂi wetrajeλ wuljajeλen iλ šošemsa,ok,pass,AV,3718
KSM_a1,16,A,marjaen njoλiλaλ wuljaena eseλti pitseλλe ,ok,NA,NA,3737
KSM_a1,17,P,wuljaeλ marjajeλ wanna λipijen λjuxetti pitseλλe,ok,act,APV,8227
KSM_a1,18,none,marjaen wuljaeλ mašina oxtije omseseλλe pa xo??ti ʂi pites,ok,act,APV,2721
KSM_a1,19,A,wuljaen marjaeλ jira poxelmasλe,ok,act,APV,2821
KSM_a1,20,P,marjajen keλ wus pa wuljajen juxa jirseλλe,ok,NA,NA,4524
KSM_a1,21,none,wuljaen marjaeλ semλ eweλt xatčesλe ,ok,act,APV,3371
KSM_a1,22,A,ʂaλta pa xuw wujumsa a wuljaeλ nux ʂi kuretti pitseλλe,ok,NA,NA,4634
KSM_a1,23,P,wuljajen marjajeλ peλa ??? pites,ok,NA,NA,2276
KSM_a1,24,none,marjaen xosum jink wus pa wuljaeλ λapetti ʂi pitseλλe,ok,NA,NA,3586
KSM_b2,1,P,wuljajen- wuljajeλen ʂi mašinajen xatitλeti ʂi pitsa,ok,pass,AV,2085
KSM_b2,2,none,marjajen wuljajeλ jira poxelti ʂi pitseλλe,ok,act,APV,2047
KSM_b2,3,A,ʂi pata wuljaen marjaena lopas paltajeλ λometti,ok,NA,NA,3089
KSM_b2,4,P,ʂi išni λotum jinkeλ ...,ok,NA,NA,3306
KSM_b2,5,none,wuljaen aleng marjaeλ xot jita jixtes pa ... sienga nux weretti ʂi pitseλλe,ok,NA,NA,2466
KSM_b2,6,A,ʂaλta pa marjajen wuljajeλ woxseλλe (зовет) pa λjuxatti  ʂi pitseλλe,ok,act,APV,1960
KSM_b2,7,P,λapka eweλt jogurt tos...,ok,NA,NA,2122
KSM_b2,8,none,marjajen limonad wuljajena maλ,ok,NA,NA,2968
KSM_b2,9,A,ʂi keλaλen wuljajen marjajeλ sumta (береза) ʂi jirseλλe,ok,act,APV,2569
KSM_b2,10,P,ʂaλta marjajejen sengkti ʂi pitsa,ok,pass,AV,2704
KSM_b2,11,none,wuljajeλ ʂi joxλ joša pavtseλλe...,ok,NA,NA,1525
KSM_b2,12,A,marjaen wuljajeλ piλa...,ok,NA,NA,3283
KSM_b2,13,P,ʂi sokeλ wuljajejen λuw .. janʂeti pitsa,ok,pass,APV,1763
KSM_b2,14,none,marjaen wuljajeλa lopas ilup palta λometti,ok,NA,NA,2399
KSM_b2,15,A,ʂi jinkeλ marjajen kur ... šošemseλλe,ok,act,PV,3350
KSM_b2,16,P,marjajen joxaλ wus pa njoλiλaλ wuljajeλa eseλti ʂi pitseλλe,ok,NA,NA,2407
KSM_b2,17,none,ʂaλta pa wuljajen marjajeλ λjuxtti ʂi pitseλλe,ok,act,APV,2114
KSM_b2,18,A,marjajen mašinajeλ wuljajeλ taλti ʂi pitseλλe,ok,act,APV,3346
KSM_b2,19,P,wuljajen marjajeλ jira pɵxəλti ʂi pitseλλe,ok,act,APV,2956
KSM_b2,20,none,marjajen keλ woites pa wuljajeλ wonshije ʂi jirseλλe,ok,NA,NA,2818
KSM_b2,21,A,wuljajen λika jis pa marjajeλ piλa kulaʂti ʂi naptes,ok,NA,NA,3982
KSM_b2,22,P,alenga marjajeλ λuw xot jita juxtes pa nux weretti ʂi pitsa,ok,NA,NA,2427
