participant,image,sentence_type,word_order,condition_key,condition,agent_num,patient_num,patient_animacy,rt,translation,transcription,comments
К14,pour-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,animate,2410.000000,Женщина обливает двух мужчин,Н'авычӈэ г'олят кимлытг'ын'нин,
К14,open-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,1439.000000,Бабушка открывает две двери ,Чачамйа  тыллыт кунв'эн'энын'нин,
К14,scold-1-2-l.png,direct,APV,direct_apv,Direct APV,2,1,animate,4741.000000,Мальчик ругает двух девочек,ругают? К'айыкмин'а ӈавык'к'алют кокытг'айн'ан'нэн,
К14,cover-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,1646.000000,Два мужчины накрывают цветок ,Г'оляйык так'лэн'ытын нак'айпын'нин,
К14,hit-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,1768.000000,Мальчик бьет девочку,К'айыкмин'а ӈавык'к'алю койкыплын'нэн,
К14,paint-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,inanimate,1512.000000,Два мальчика красят две доски ,К'айыкмин'ыйык доскат накокрасин'ныныт,
К14,throw-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,2963.000000,Мальчик бросает два мяча,К'айыкмин'ын к'апыла куйчвитын,
К14,wash-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,animate,5821.000000,Бабушка моет двух дедушек,о боже мой... кошмар... Чачамйа ынпын'ыт конмытын'нын,
К14,paint-2-1-l.png,direct,APV,direct_apv,Direct APV,2,1,inanimate,3606.000000,Две девочки красят доску,Н'авык'к'алюйык доска кократкан'нынын,
К14,clean-1-1-r.png,direct,APV,direct_apv,Direct APV,2,2,inanimate,3861.000000,Бабушка чистит пальто,Чачамйа пальтон кучистин'нынын,
К14,scold-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,4619.000000,Девочка ругает мальчика ,ругает? Н'авык'к'алюта к'айыкмин'ын кокытг'айн'ан'ын,
К14,push-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,3593.000000,Девочка толкает мальчика,че делает?.. Н'авык'к'алюта к'айыкмин'ын купынг'ылынын,
К14,pour-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,3050.000000,Две женщины обливают мужчину ,Н'авычӈа г'оля накимлытг'ын'нин,
К14,pick-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,4238.000000,Девочка срывает два цветка,че делает? а?... Н'авык'к'алюта так'лэн'ытыв' купыйг'ын'нын,
К14,tie-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,animate,1705.000000,Две девочки связывают двух мальчиков,Н'авык'к'алюйык к'айыкмин'у накукылтын'нав',
К14,call-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,animate,3704.000000,Дедушка зовет двух бабушек ,"че, зовет? Ынпын'этэ чачамэт куг'айн'ив'ын'нин",
К14,clean-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,2871.000000,Два дедушки чистят пальто ,Ынпын'эйык пальтон накучистин'нынын,
К14,feed-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,1537.000000,Бабушка кормит дедушку,"Чачамйа ынпын' кунынев,инын",
К14,water-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,inanimate,3734.000000,Две девочки поливают два цветка ,Н'авык'к'алюйык так'лэн'ытыныв' накимлытг'ын'нав',
К14,wake-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,5484.000000,Два мужчины будят женщину ,зовут.. или будит? угу..  Г'оляйык н'авычӈэн нэкуныкг'ев'ын,
К14,cut_hair-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,1367.000000,Две девочки стригут мальчика,Н'авык'к'алюта к'айыкмин'ын накопаев'н'ын,
К14,burn-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,1877.000000,Бабушка сжигает две книги,"Чачамйа книжкав' кун,ытын,нин",
К14,wash-2-2-r.png,direct,APV,direct_apv,Direct APV,2,2,animate,2125.000000,Два дедушки моют двух бабушек,Ынпын'эйык чачамйыт конмытын'ныныт,
К14,open-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,1493.000000,Две бабушки открывают дверь,Чачамйа тыллытыл нэкунв'эн'энын'нин,
К14,treat-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,2871.000000,Женщина лечит мужчину ,че делают? а... Н'авычӈа г'оля кунмэлэв'ын'нин,
К14,scold-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,2880.000000,Два мальчика ругают девочку,че?.. К'айыкмин'а ӈавык'к'алю накокытг'айн'ан'нэн,
К14,cover-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,1802.000000,Мужчина накрывает два цветка ,Г'олята так'лэн'ытыв' к'айпын'нин,
К14,hit-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,animate,3695.000000,Два мальчика бьют двух девочек,че? а... К'айыкмин'а ӈавык'к'алют накойкыплын'ныт,
К17,feed-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,animate,3104.000000,Дедушка кормит двух бабушек,Ынпын'этэ  чачамйыт  кунэв'эн'нын,
К17,break-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,1322.000000,Девочка ломает два домика,"Н'авык'к'алюта яя,пель кончимав'н'ынан ",
К17,feed-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,animate,1912.000000,Две бабушки кормят двух дедушек,Чачамйа ынпын'эт нэкунэв'эн'нын,
К17,wake-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,animate,1953.000000,Мужчина будит двух женщин,Г'олята н'авычӈэт куныкг'евын'нин,
К17,call-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,animate,3435.000000,Две бабушки зовут двух дедушек,Чачамйа ынпын'э накукувычыныв',
К17,boil-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,3108.000000,Две бабушки варят курицу,Чачамйык йив'йив' накопаньн'ынин,
К17,eat-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,inanimate,3933.000000,Два мужчины едят два яблока,Г'олята  яблокав' нэкугитэйнын,
К17,carry-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,2313.000000,Мужчина несёт ведро,Г'олята пийкыль кимтыйпын,
К25,water-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,1685.000000,Два мальчика поливают один цветок,К'айыкмин'ыйык  в'ытв'ыт накимлытг'ын'ын  ,
К24,carry-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,5319.000000,Женщина несёт два ведра,Эльг'ата н'ыччек кукэт кунн'ин'ныв,
К24,tie-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,1,2,animate,2437.000000,Два мальчика связывают девочку,Г’оячекейык эльг'апель накылг'ытын'нин,
К24,pull-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,5964.000000,Девочка везёт санки,Эльг'ата уетыкпиль каг'аг'ан'нин ,
К24,open-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,3294.000000,Бабушка открывает две двери ,Чачамйа тыллыт кунв'эн'энын'нин,
К07,shoot-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,3741.000000,Две девочки стреляют в мальчика,Эльг'апэляк'а к'айыкмин'ын нэкулк'эйнэв'н'ын,
К19,carry-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,2185.000000,Женщина несёт два ведра,Навык'к'алюта ведрат кимтин'нин,"""две несет"""
К19,cover-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,1723.000000,Женщина накрывает один цветок,Н'авык'к'алюта цветок куникэн'нин,"""как его... делает"""
К19,wash-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,4292.000000,Две бабушки моют одного дедушку,Чачамйык ынпэн нэкилгытэв'нын,
К19,water-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,1823.000000,Два мальчика поливают один цветок,К'айыкмин'ыйык цветок накополиваньн'ын,
К19,pull-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,2755.000000,Два мальчика везут санки,К'айыкмин'ыпэлякыйык санка накуг'аг'ан'нын,
К19,clean-1-2-l.png,direct,APV,direct_apv,Direct APV,2,2,inanimate,1810.000000,Дедушка чистит два пальто,Г'олянак пальтон кучистиньн'ин,
К19,water-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,1389.000000,Девочка поливает цветок,Н'авык'к'алюта цветок кополиваньн'ынин,
К19,boil-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,inanimate,3874.000000,Две женщины варят две курицы,Навычныйык кукэн'э нэкунчичг'эньн'ин,женщины кастрюлю рассматривают
К19,pull-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,1697.000000,Девочка везёт санки,Н'авык'к'алюта санкан кыг'аг'ан'нин,
К19,cut_hair-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,animate,1882.000000,Девочка стрижет двух мальчиков,Н'авык'к'алюта к'айыкмин'ын копаен'нэн,
К19,wash-1-1-r.png,direct,APV,direct_apv,Direct APV,2,1,animate,2566.000000,Дедушка моет бабушку,Г'оляйнак н'авыткэт килгытэв'н'ынин,
К19,paint-2-2-r.png,direct,APV,direct_apv,Direct APV,2,2,inanimate,1598.000000,Два мальчика красят две доски ,К'айыкмин'а доска кукрасиньн'ынин,
К19,break-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,5192.000000,Мальчик ломает домик,К'айыкмин'а яян'а кунчимав'н'ынын,
К19,wake-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,3597.000000,Женщина будит мужчину,а.. Навык'к'алюйык эньпич куеныкъев'н'ын,
К19,open-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,1972.000000,Дедушка открывает дверь,Ынпын'этэ тыллытыл куенв'эн'эньн'ынэн,
К19,cut_hair-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,2765.000000,Мальчик стрижет девочку,К'айыкмин'а н'авык'к'алю копаен'ынин,
К19,paint-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,1710.000000,Две девочки красят доску,Н'авык'к'алюйык доска накукрасиньн'ынин,
К19,boil-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,3732.000000,Две бабушки варят курицу,Чачамйык курица накопаньн'ынэн,
К19,saw-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,3992.000000,Два дедушки пилят бревно,Ынпын'эйык бревна накупилин'нин,
К19,push-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,1511.000000,Девочка толкает мальчика,Н'авык'к'алюта к'айыкмин'ын гыпынг'ылынин,
К19,clean-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,2566.000000,Два дедушки чистят пальто ,Ынпын'эйык пальтон накучистиньн'ин,
К19,pull-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,inanimate,1610.000000,Две девочки везут двое санок ,Н'авык'к'алют санкапиль..санкапэля накуг'аг'ан'нин,
К19,cut_hair-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,1841.000000,Две девочки стригут мальчика,Н'авык'к'алюйык ею к'айыкмин'ын накопаен'нэн,
К19,saw-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,2185.000000,Мужчина пилит бревно,Г'олята бревно купилиньн'ын,
К19,paint-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,2579.000000,Мальчик красит доску,К'айыкмин'а доска кукрасиньн'ынин,
К13,water-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,2544.000000,Два мальчика поливают один цветок,К'айнюнютык мичг'амич  наполиватыткын,
К13,pour-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,animate,5776.000000,Двое мужчин обливают двух женщин,Орачекынык мимыл нэтг'ыткын,воду выливают
К13,water-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,4911.000000,Девочка поливает цветок,Н'авык'алюнак  мичг'амич поливатыткын,
К13,pour-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,4853.000000,Две женщины обливают мужчину ,Нав'г'анытык мимлын нэтыг'ыткынин ,воду выливает
К16,water-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,4231.000000,Два мальчика поливают один цветок,"поливает? ага.. Н,ыечгэйи к'айыкмин'ыт в'ытв'ыт накополиваньнын",
К16,clean-1-1-r.png,direct,APV,direct_apv,Direct APV,2,2,inanimate,1724.000000,Бабушка чистит пальто,ага Чачамйа пальтон коячистиньнын,
К16,water-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,2583.000000,Мальчик поливает два цветка,К'айыкмин'а  н'ыччек' в'итв'итэ куполиваньнин,
