participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt,matched_accuracy,matched_by,vf_acc,vn_acc,pn_acc,is_error_form,error_fields,excluded_from_graphs
К03,carry-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2685.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К03,dress-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,3123.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К03,burn-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,2738.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К03,pull-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1964.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К03,hit-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,3937.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К04,cut_hair-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3852.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К04,pour-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,4714.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К04,scold-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3219.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К04,wake-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,2620.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,boil-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2478.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К04,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2895.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,open-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2557.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,eat-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2867.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,pick-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2596.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,teach-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3899.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К04,cover-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2270.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К04,wash-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,2820.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,give_water-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,4416.000000,yes,participant_image,1,0,NA,yes,vn_acc,yes
К04,tie-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,3201.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,eat-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2618.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К04,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1529.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К04,plant-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1426.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,teach-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,2368.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,pull-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2306.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К04,burn-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2088.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,shoot-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,2397.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,scold-2-1-l.png,inverse,inverse_2_agents_1_patient_animate_patient,"2 agents, 1 patient, animate patient",2,1,animate,2703.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,cover-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2056.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К04,hit-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2711.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2654.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,feed-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,2204.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,wake-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3403.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,cut_hair-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,4423.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,paint-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1693.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,treat-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,2932.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,scold-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1745.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,break-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1680.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,pour-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,2502.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,carry-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2555.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,feed-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3780.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,wake-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,2076.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,boil-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2008.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1684.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,dress-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1913.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,cut_hair-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1526.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,burn-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,2055.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,saw-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1548.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,open-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1539.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,treat-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3489.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,call-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1970.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,wash-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,2328.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,give_water-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3574.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,water-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1447.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,plant-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2656.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,pull-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2458.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,burn-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1834.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,give_water-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,3147.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,pick-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1583.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,tie-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1231.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,carry-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,3434.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1253.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,plant-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1461.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,boil-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,2122.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,burn-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1488.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,wash-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1280.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К05,saw-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1573.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,shoot-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1211.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,cover-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2053.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К05,hit-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2569.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К06,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1459.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,wake-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3311.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,cut_hair-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2173.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,paint-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1196.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,boil-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,3721.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,scold-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1233.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,carry-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2049.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К06,feed-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2619.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1369.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,dress-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2719.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,saw-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,3175.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,treat-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3450.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,pick-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1260.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,teach-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3305.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,cover-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2135.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,paint-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1244.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,boil-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,5213.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,hang-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,2336.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,saw-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1831.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,tie-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1599.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,carry-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,1551.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1422.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К06,makelaugh-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2162.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,boil-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,2938.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,hang-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1851.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К06,shoot-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1741.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К06,throw-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1167.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К10,wake-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3591.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К10,carry-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,4931.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К10,dress-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,3184.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К10,cut_hair-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2916.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К10,water-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,4211.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К10,push-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3539.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К10,carry-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1981.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К10,feed-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3514.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К10,wake-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,4518.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К10,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,3572.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К10,teach-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,5276.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К10,tie-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,3311.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К10,cover-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2688.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К14,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1722.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К14,hang-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,3773.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К14,feed-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,4648.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К14,hang-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2442.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К14,dress-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2217.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К14,pull-1-1-r.png,direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",1,1,inanimate,3366.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К14,cut_hair-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1368.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К14,cover-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2409.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К17,break-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1827.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К17,wake-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,4030.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К17,clean-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1607.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К17,push-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,3380.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К17,pour-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,3315.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К17,boil-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,3426.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К17,scold-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1903.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К17,push-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1812.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К17,carry-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1683.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К17,boil-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1913.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
К17,eat-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,3038.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К17,pick-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2508.000000,yes,participant_image,1,0,0,yes,vn_acc+pn_acc,yes
